C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\The Jackson 5 - I'll Be There.mp3	The Jackson 5	I'll Be There
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Love Songs\Wet Wet Wet - Love is all around.mp3	Wet Wet Wet	Love is all around
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\Calm - Introducing The Shadow Of The Earth.mp3	Calm	Introducing The Shadow Of The Earth
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\Clouds - Faro.mp3	Clouds	Faro
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\D Note - Love Is Wise.mp3	D Note	Love Is Wise
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\Douglas Spotted Eagle - Pure.mp3	Douglas Spotted Eagle	Pure
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\Hokkaido - Love Actually.mp3	Hokkaido	Love Actually
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\Justin Howard - Deep Emotion.mp3	Justin Howard	Deep Emotion
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\Lart Mystique - The Sunrise Experience.mp3	Lart Mystique	The Sunrise Experience
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\Marga Sol - Blue Whales.mp3	Marga Sol	Blue Whales
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\Masan - Temple Of Light.mp3	Masan	Temple Of Light
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\Nacho Sotomayor - Nirvana Song.mp3	Nacho Sotomayor	Nirvana Song
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\Owen Ear - Drops.mp3	Owen Ear	Drops
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\Shaki Hasan - Raghupati.mp3	Shaki Hasan	Raghupati
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\Sonic Adventure Project - Sunday Afternoon.mp3	Sonic Adventure Project	Sunday Afternoon
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\The Diventa Project - Serenity.mp3	The Diventa Project	Serenity
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\New Age Instrumentals\Zen K. - Spirit Of Ashram.mp3	Zen K.	Spirit Of Ashram
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Opera\Bulgarian National Radio Symphony Orchestra, John Landor & Christine Moore - Rusalka Act I - Mesicku (Song to the Moon).mp3"	"Bulgarian National Radio Symphony Orchestra, John Landor & Christine Moore"	Mesicku (Song to the Moon)
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Opera\Bulgarian National Radio Symphony Orchestra, John Landor & Edward Pleasant - Don Pasquale Act I - Bella Siccome un Angelo.mp3"	"Bulgarian National Radio Symphony Orchestra, John Landor & Edward Pleasant"	Bella Siccome un Angelo
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Opera\Bulgarian National Radio Symphony Orchestra, John Landor & Heather Johnson - Cinderella La Cenerentola Act II - Non Piú Mesta.mp3"	"Bulgarian National Radio Symphony Orchestra, John Landor & Heather Johnson"	Non Piú Mesta
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Opera\Bulgarian National Radio Symphony Orchestra, John Landor & Patrick Marques - Aida Act I - Celeste Aida.mp3"	"Bulgarian National Radio Symphony Orchestra, John Landor & Patrick Marques"	Celeste Aida
